"","old_name","new_name2"
"656","Ions_IC_spec_nitrite","spec.IC.na.nitrite"
"657","Ions_IC_spec_nitrite_mdl","spec.IC.na.nitrite_mdl"
"658","Ions_IC_spec_oxalate","spec.IC.na.oxalate"
"659","Ions_IC_spec_oxalate_mdl","spec.IC.na.oxalate_mdl"
"660","Ions_IC_spec_bromide","spec.IC.na.bromide"
"661","Ions_IC_spec_bromide_mdl","spec.IC.na.bromide_mdl"
"662","Ions_IC_spec_phosphate","spec.IC.na.phosphate"
"663","Ions_IC_spec_phosphate_mdl","spec.IC.na.phosphate_mdl"
"664","Ions_IC_spec_lithium","spec.IC.na.lithium"
"665","Ions_IC_spec_lithium_mdl","spec.IC.na.lithium_mdl"
"666","Ions_IC_spec_potassium","spec.IC.na.potassium"
"667","Ions_IC_spec_potassium_mdl","spec.IC.na.potassium_mdl"
"668","Ions_IC_spec_magnesium","spec.IC.na.magnesium"
"669","Ions_IC_spec_magnesium_mdl","spec.IC.na.magnesium_mdl"
"670","Ions_IC_spec_manganese_mn","spec.IC.na.manganese_mn"
"671","Ions_IC_spec_manganese_mdl","spec.IC.na.manganese_mn_mdl"
"672","Ions_IC_spec_calcium","spec.IC.na.calcium"
"673","Ions_IC_spec_calcium_mdl","spec.IC.na.calcium_mdl"
"674","Ions_IC_spec_strontium_sr","spec.IC.na.strontium_sr"
"675","Ions_IC_spec_strontium_mdl","spec.IC.na.strontium_sr_mdl"
"676","Ions_IC_spec_barium_ba","spec.IC.na.barium_ba"
"677","Ions_IC_spec_barium_mdl","spec.IC.na.barium_ba_mdl"
